#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_mal8y8a1.slha	425.094406	514.336123	506.856754	519.995227	1063.97058	1064.12582	0.0009044143	0.001126756	ATLAS-SUSY-2013-11,CMS-SUS-13-012	0.0008872474	ATLAS-SUSY-2013-11	0.0008280976	ATLAS-SUSY-2013-11	417.58968	951.850366	496.803476	7.59696148	-1	00:00:03
ew_hmhgqu61.slha	144.021916	477.249107	477.003014	499.712162	654.50393	654.720164	1.126444	1.326363	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.750083	CMS-SUS-21-002	0.8708363	CMS-SUS-21-002	130.87177	548.288928	479.857152	19.8039753	-1	00:49:44
ew_f5mqhmse.slha	169.548692	178.689116	174.762336	505.179751	1313.91202	1314.07747	0.1148165	0.06965676	ATLAS-SUSY-2019-09	0.1148165	ATLAS-SUSY-2019-09	0.06965676	ATLAS-SUSY-2019-09	479.081624	1190.79464	168.45584	24.8492517	-1	00:00:11
ew_0tft09zy.slha	402.026113	405.697091	404.30692	1296.99517	3151.93922	3152.10402	-1	-1	-1	-1	-1	-1	-1	1271.99258	2979.77303	390.030091	20.7546023	[]	00:00:01
ew_wwwga_in.slha	401.074969	405.430807	403.381025	1690.91439	2048.13049	2048.28882	-1	-1	-1	-1	-1	-1	-1	1644.76156	1900.12876	389.305806	44.1525424	[]	00:00:00
ew_wolfho_y.slha	425.893572	432.8252	430.80102	712.681917	2490.99649	2491.16159	-1	-1	-1	-1	-1	-1	-1	690.535203	2331.58931	415.70683	40.1523858	[]	00:00:00
ew_34vbrws2.slha	204.219603	316.123488	316.285446	1700.14427	1701.21297	1702.3833	1.736298	1.814448	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.495703	ATLAS-SUSY-2019-09	1.318186	ATLAS-SUSY-2019-09	193.851648	268.953007	1662.93799	46.9157816	-1	00:24:41
ew_t2hqvrhi.slha	480.693648	502.213566	484.557587	698.022697	1173.0586	698.669282	0.05736979	0.05385532	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.04286682	CMS-SUS-21-002	0.04417481	CMS-SUS-21-002	1126.75646	601.075818	483.157275	17.1563391	-1	01:10:01
ew_1xkwad6y.slha	248.288377	259.8001	252.076023	702.37514	2039.1283	702.647872	1.171729	1.129173	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.124445	ATLAS-SUSY-2018-41	0.7576685	ATLAS-SUSY-2018-41	1986.59873	618.184181	246.632383	21.6983823	-1	00:34:58
ew_9ebosvnz.slha	340.536268	1079.57242	1079.73676	2398.88416	2400.85894	2401.48416	0.6861621	0.9278023	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.769824	ATLAS-SUSY-2018-41	0.7168659	CMS-SUS-21-002	330.081332	984.6317	2354.76341	20.6470978	-1	00:38:06
